2018-08-22 19:56:35,86789,1044360,8.31,257
2018-08-22 19:56:36,87340,1020753,8.56,257
2018-08-22 19:56:38,96319,1019267,9.45,257
2018-08-22 19:56:39,96319,1019267,9.45,257
2018-08-22 19:56:40,140205,1009239,13.89,257
2018-08-22 19:56:41,119129,1007649,11.82,257
2018-08-22 19:56:42,110397,1017303,10.85,257
2018-08-22 19:56:43,125793,1017750,12.36,257
2018-08-22 19:56:44,110007,1003070,10.97,257
2018-08-22 19:56:45,95159,1015278,9.37,257
2018-08-22 19:56:46,95159,1015278,9.37,257
2018-08-22 19:56:47,121295,1006146,12.06,257
2018-08-22 19:56:48,108091,1001142,10.8,257
2018-08-22 19:56:50,125421,1008477,12.44,257
2018-08-22 19:56:51,125421,1008477,12.44,257
2018-08-22 19:56:52,0,0,0,257
2018-08-22 19:56:53,103220,1000701,10.31,257
2018-08-22 19:56:54,103220,1000701,10.31,257
